PropertyID;Address;Country;CityInput;City_extracted;Street_extracted;PostalCode;Phone;Status;UpdatedDate;MissingStreet;PostalCode_OK;Phone_OK;City_Match;AnyError;ErrorCount;YearMonth;SourceSystem;IsError;IsMissingStreet;ErrorType
PROP00001;FranceToulouse;France;Toulouse;Toulouse;;32599;-315833483;Active;09.07.2024;MISSING;OK;OK;MATCH;ERROR;1;2024-07;ServiceNow;1;1;MissingStreet
PROP00002;Lyon, Donald Cove 35, France;France;Lyon;Lyon;Donald Cove 35;89197;-319837556;Inactive;12.11.2023;OK;OK;OK;MATCH;OK;0;2023-11;Planon;0;0;OK
PROP00003;UKLeeds, UK;UK;Leeds;Leeds;UK;4406;-597990374;Inactive;29.11.2023;OK;OK;OK;MATCH;OK;0;2023-11;Planon;0;0;OK
PROP00004;ToulouseJeffery Parkways231, France;France;Toulouse;Toulouse;ToulouseJeffery Parkways231;79408;-562032516;Inactive;24.04.2024;OK;OK;OK;MATCH;OK;0;2024-04;MDG;0;0;OK
PROP00005;AdelaideAnna Stravenue73, Australia;Australia;Adelaide;Adelaide;AdelaideAnna Stravenue73;85682;-662081666;Active;16.02.2023;OK;OK;OK;MATCH;OK;0;2023-02;Salesforce;0;0;OK
PROP00006;USA, Phoenix;USA;Phoenix;Phoenix;Phoenix;36964;-783458221;Inactive;09.06.2023;OK;OK;OK;MATCH;OK;0;2023-06;Planon;0;0;OK
PROP00007;Katherine Estate 93, Germany, Cologne;Germany;Cologne;Cologne;Katherine Estate 93;92007;-457327951;Active;10.11.2023;OK;OK;OK;MATCH;OK;0;2023-11;ServiceNow;0;0;OK
PROP00008;Peterson Drives 204, Germany, Cologne;Germany;Cologne;Cologne;Peterson Drives 204;28722;-576610372;Active;15.02.2023;OK;OK;OK;MATCH;OK;0;2023-02;SAP;0;0;OK
PROP00009;SpainBarcelona, Spain;Spain;Barcelona;Barcelona;Spain;13177;-805788224;Inactive;08.10.2024;OK;OK;OK;MATCH;OK;0;2024-10;SAP;0;0;OK
PROP00010;Abbott Rapids 298, Brazil, Brasília;Brazil;Brasília;Brasília;Abbott Rapids 298;35172;-707015849;Active;21.04.2025;OK;OK;OK;MATCH;OK;0;2025-04;MDG;0;0;OK
