Address;PostalCode;Phone;Country;CityInput;PropertyID;Status;UpdatedDate;SourceSystem;Notes;PostalCode_OK;Phone_OK;Street_extracted;MissingStreet;City_extracted;City_Match;AnyError;ErrorCount
FranceToulouse;32599;-315833483;France;Toulouse;PROP00001;Active;09.07.2024;ServiceNow;Check postal code;OK;OK;;MISSING;Toulouse;MATCH;ERROR;1
Lyon, Donald Cove 35, France;89197;-319837556;France;Lyon;PROP00002;Inactive;12.11.2023;Planon;Pending validation;OK;OK;Donald Cove 35;OK;Lyon;MATCH;OK;0
UKLeeds, UK;4406;-597990374;UK;Leeds;PROP00003;Inactive;29.11.2023;Planon;;OK;OK;UK;OK;Leeds;MATCH;OK;0
ToulouseJeffery Parkways231, France;79408;-562032516;France;Toulouse;PROP00004;Inactive;24.04.2024;MDG;;OK;OK;ToulouseJeffery Parkways231;OK;Toulouse;MATCH;OK;0
AdelaideAnna Stravenue73, Australia;85682;-662081666;Australia;Adelaide;PROP00005;Active;16.02.2023;Salesforce;Check postal code;OK;OK;AdelaideAnna Stravenue73;OK;Adelaide;MATCH;OK;0
USA, Phoenix;36964;-783458221;USA;Phoenix;PROP00006;Inactive;09.06.2023;Planon;Check postal code;OK;OK;Phoenix;OK;Phoenix;MATCH;OK;0
Katherine Estate 93, Germany, Cologne;92007;-457327951;Germany;Cologne;PROP00007;Active;10.11.2023;ServiceNow;Imported from legacy system;OK;OK;Katherine Estate 93;OK;Cologne;MATCH;OK;0
Peterson Drives 204, Germany, Cologne;28722;-576610372;Germany;Cologne;PROP00008;Active;15.02.2023;SAP;Imported from legacy system;OK;OK;Peterson Drives 204;OK;Cologne;MATCH;OK;0
SpainBarcelona, Spain;13177;-805788224;Spain;Barcelona;PROP00009;Inactive;08.10.2024;SAP;Imported from legacy system;OK;OK;Spain;OK;Barcelona;MATCH;OK;0
Abbott Rapids 298, Brazil, Brasília;35172;-707015849;Brazil;Brasília;PROP00010;Active;21.04.2025;MDG;Check postal code;OK;OK;Abbott Rapids 298;OK;Brasília;MATCH;OK;0
Australia, Perth;16862;-563762585;Australia;Perth;PROP00011;Active;29.12.2022;SAP;Check postal code;OK;OK;Perth;OK;Perth;MATCH;OK;0
CanadaOttawa;82898;-641811906;Canada;Ottawa;PROP00012;Active;13.10.2025;Salesforce;;OK;OK;;MISSING;Ottawa;MATCH;ERROR;1
USALos AngelesRay Squares47;9617;-603554865;USA;Los Angeles;PROP00013;Active;22.06.2024;SAP;Verified;OK;OK;USALos AngelesRay Squares47;OK;Los Angeles;MATCH;OK;0
Donna Trail 183, UK, Leeds;38431;-971324611;UK;Leeds;PROP00014;Inactive;22.02.2024;MDG;;OK;OK;Donna Trail 183;OK;Leeds;MATCH;OK;0
ItalyRome;13739;-846405713;Italy;Rome;PROP00015;Inactive;25.02.2024;Planon;;OK;OK;;MISSING;Rome;MATCH;ERROR;1
BrazilSalvador, Brazil;48320;-184834961;Brazil;Salvador;PROP00016;Inactive;24.04.2025;MDG;;OK;OK;Brazil;OK;Salvador;MATCH;OK;0
CanadaCalgary, Canada;88342;-803880340;Canada;Calgary;PROP00017;Active;21.07.2024;Salesforce;Needs review;OK;OK;Canada;OK;Calgary;MATCH;OK;0
UK, Birmingham;85440;-132506131;UK;Birmingham;PROP00018;Inactive;24.06.2025;SAP;Pending validation;OK;OK;Birmingham;OK;Birmingham;MATCH;OK;0
BrasíliaChelsea Extension100, Brazil;70511;-358446612;Brazil;Brasília;PROP00019;Active;18.05.2024;Salesforce;;OK;OK;BrasíliaChelsea Extension100;OK;Brasília;MATCH;OK;0
Canada, Calgary, Frank Light 65;35883;-523118275;Canada;Calgary;PROP00020;Active;01.10.2023;Salesforce;Imported from legacy system;OK;OK;Frank Light 65;OK;Calgary;MATCH;OK;0
Chicago, Gabrielle Ville 211, USA;7832;-984554816;USA;Chicago;PROP00021;Active;30.10.2024;MDG;;OK;OK;Gabrielle Ville 211;OK;Chicago;MATCH;OK;0
GermanyMunichLydia Valley281;41848;-719462860;Germany;Munich;PROP00022;Active;04.11.2025;MDG;;OK;OK;GermanyMunichLydia Valley281;OK;Munich;MATCH;OK;0
GermanyCologne;74842;-946225845;Germany;Cologne;PROP00023;Active;26.03.2025;ServiceNow;;OK;OK;;MISSING;Cologne;MATCH;ERROR;1
